Abbreviations,Abréviation
Supplementary estimates,Budget supplémentaire des dépenses
Supplements,Supplément
Suppliers,Fournisseur
Supplies,Approvisionnements
Supply,Offre
Support businesses,Entreprise de soutien
Surface water,Eau de surface
Surficial geology,Géologie des dépôts meubles
Surgeons,Chirurgien
Surgery,Chirurgie
Surplus,Surplus
Surveying,Arpentage
Surveys,Sondage
Survival,Survie
Survivor benefits,Prestation au survivant
Suspension,Suspension
Sustainable development,Développement durable
Sustainable transportation,Transport durable
Symbols,Symbole
Systems,Système
Tables,Tableau
Tariff barriers,Barrière tarifaire
Tariff protection,Protection des tarifs douaniers
Tariff relief,Allègement tarifaire
Tariffs,Tarif douanier
Tax avoidance,Évitement fiscal
Tax benefits,Avantage fiscal
Tax credits,Crédit d'impôt
Tax fraud,Fraude fiscale
Tax incentives,Incitatif fiscal
Tax refunds,Remboursement d'impôt
Taxation regulations,Réglementation en matière de taxation
Taxes,Impôt
Taxonomy,Taxonomie
Tea,Thé
Teachers,Enseignant
Technical education,Enseignement technique
Technical reports,Rapport technique
Technical services,Services techniques
Technical writing,Rédaction technique
Technological innovation,Innovation technologique
Technology,Technologie
Technology policy,Politique technologique
Technology transfer,Transfert technologique
Telecommunications,Télécommunications
Telecommunications networks,Réseau de télécommunications
Telecommunications policy,Politique en matière de télécommunications
Teleconferencing,Téléconférence
Telegraph,Télégraphe
Telehealth,Télésanté
Telemedicine,Télémédecine
Telephone directories,Répertoire téléphonique
Telephones,Téléphone
Television,Télévision
Telework,Télétravail
Temperature,Température
Templates,Modèles
Temporary employment,Emploi temporaire
Tenders,Soumission
Term loans,Prêt à terme
Termination of employment,Cessation d'emploi
Terminology,Terminologie
Terms of reference,Cadre de référence
Terms of use,Condition d'utilisation
Terrestrial ecosystems,Écosystème terrestre
Territorial governments,Gouvernement territorial
Territorial parks,Parc territorial
Territories,Territoire
Terrorism,Terrorisme
Testimony,Témoignage
Testing,Test
Textile industry,Industrie textile
Textiles,Textile
Theatre,Théâtre
Therapy,Thérapie
Thesauri,Thésaurus
Tides,Marée
Time,Temps
Time zones,Fuseau horaire
Tissues,Tissu (Biologie)
Tobacco industry,Industrie du tabac
Tolls,Péage
Tooling,Outillage
Tools,Outil
Topographical maps,Carte topographique
Topography,Topographie
Toponymy,Toponymie
Tourism,Tourisme
Tourism facilities,Installations touristiques
Toxic spills,Déversement de substances toxiques
Toxic substances,Substance toxique
Toxicology,Toxicologie
Toys,Jouet
Trade,Commerce
Trade agreements,Accord commercial
Trade disputes,Différend commercial
Trade missions,Délégation commerciale
Trade negotiations,Négociation commerciale
Trade office,Bureau commercial
Trade policy,Politique commerciale
Trade promotion,Promotion du commerce
Trade relations,Relations commerciales
Trade shows,Salon professionnel
Trademarks,Marque de commerce
Train stations,Gare ferroviaire
Training,Formation
Training centres,Centre de formation
Trains,Train
Transborder data flow,Flux transfrontière de données
Transfer payments,Paiement de transfert
Transfers,Transfert
Transfers of personnel,Mutation de personnel
Transformation,Transformation
Transgender people,Personne transgenre
Translation,Traduction
Transplantation (Medicine),Transplantation (Médecine)
Transport,Transport
Transport industry,Industrie du transport
Transport policy,Politique des transports
Transportation safety,Sécurité des transports
Trapping,Piégeage
Travel,Voyage
Travel documents,Titre de voyage
Treasury board,Conseil du Trésor
Treasury Board Secretariat,Secrétariat du Conseil du Trésor
Trees,Arbre
Trends,Tendances
Trucking industry,Industrie du camionnage
Trucks,Camion
Trust companies,Société de fiducie
Trustees,Fiduciaire
Tsunamis,Tsunami
Tunnels,Tunnel
Two-spirit people,Personne bispirituelle
Ultraviolet radiation,Rayonnement ultraviolet
Unemployment,Chômage
Universities,Université
Unpaid work,Travail non rémunéré
Urban communities,Communauté urbaine
Urban development,Développement urbain
Urban environment,Milieu urbain
Urban planning,Urbanisme
Urban transit,Transport urbain
User education,Formation des utilisateurs
Uses,Utilisation
Utilities,Services publics
Vacations,Vacances
Values,Valeurs
Vandalism,Vandalisme
Vegetable crops,Cultures maraîchères
Vegetables,Légume
Vehicles,Véhicule
Vendors,Vendeur
Venture capital,Capital de risque
Vessels,Embarcation
Veteran pensions,Pension des anciens combattants
Veterans,Ancien combattant
Veterinary drugs,Médicament vétérinaire
Veterinary medicine,Médecine vétérinaire
Victims,Victime
Videorecordings,Enregistrement vidéo
Violence,Violence
Violence against children,Violence faite aux enfants
Violence against women,Violence faite aux femmes
Virtual exhibitions,Exposition virtuelle
Viruses,Virus
Visas,Visa
Visible minorities,Minorité visible
Visits of state,Visite officielle
Visual archives,Archives visuelles
Visual arts,Arts visuels
Visual disabilities,Déficience visuelle
Vital statistics,Statistiques de l'état civil
Vitamins,Vitamine
Viticulture,Viticulture
Vocational guidance,Orientation professionnelle
Vocational rehabilitation,Réadaptation professionnelle
Vocational training,Formation professionnelle
Voice mail,Messagerie vocale
Volcanoes,Volcan
Volunteer work,Bénévolat
Walruses,Morse
War,Guerre
War crimes,Crime de guerre
War memorials,Cénotaphe
Warranties,Garantie
Warrants,Mandat de perquisition
Waste,Déchets
Waste management,Gestion des déchets
Waste water,Eaux usées
Water,Eau
Water conservation,Conservation de l'eau
Water demand,Besoins en eau
Water management,Gestion de l'eau
Water pollution,Pollution de l'eau
Water quality,Qualité de l'eau
Water supply,Approvisionnement en eau
Water transport,Transport maritime
Water transport industry,Industrie du transport maritime
Water use,Utilisation de l'eau
Watercourses,Cours d'eau
Watersheds,Bassin hydrologique
Waterways,Voie navigable
Weapons,Arme
Weather,Temps (Météorologie)
Weather forecasts,Prévisions météorologiques
Weather warnings,Alerte météorologique
Weaving,Tissage
Web usability,Facilité d'emploi du Web
Websites,Site Web
Weeds,Plante nuisible
Western provinces,Provinces de l'Ouest
Wetlands,Zone humide
Whales,Baleine
Whaling,Chasse à la baleine
Wharfs,Quai
Wheat,Blé
Wheelchairs,Fauteuil roulant
Whistleblower protection,Protection des dénonciateurs
Wholesale trade,Commerce de gros
Wild plants,Plante sauvage
Wildlife,Faune
Wildlife management,Gestion de la faune
Wind,Vent
Wind energy,Énergie éolienne
Wine,Vin
Wine industry,Industrie vinicole
Winter sports,Sport d'hiver
Women,Femme
Women's health,Santé de la femme
Women workers,Travailleuse
Wood,Bois
Woodworking industry,Industrie du bois
Work organization,Organisation du travail
Work permits,Permis de travail
Workers,Travailleur
Working capital,Fonds de roulement
Working conditions,Conditions de travail
Workplace,Milieu de travail
Workplace automation,Automatisation du travail
Workplace pollution,Pollution en milieu de travail
Workplace violence,Violence en milieu de travail
World heritage,Patrimoine mondial
"World War, 1914-1918","Guerre mondiale, 1914-1918"
"World War, 1939-1945","Guerre mondiale, 1939-1945"
Writing,Rédaction
Xenotransplantation,Xénotransplantation
Yearbooks,Annuaire
Yogurt,Yogourt
Young adults,Jeune adulte
Young offenders,Jeune contrevenant
Youth,Jeunesse
Zoological gardens,Jardin zoologique
Zoology,Zoologie
